,Position,Total,Remain
0,捷運市政府站,180,41
1,台北市政府,40,19
2,市民廣場,32,1
3,興雅國中,60,45
4,臺北南山廣場,80,53
5,信義廣場,80,2
6,世貿三館,36,4
7,松德站,40,14
8,台北市災害應變中心,30,11
9,三張犁,36,1
10,臺北醫學大學,48,1
11,福德公園,50,10
12,松山家商,30,16
13,象山公園,24,3
14,松山車站,44,28
15,永吉松信路口,24,10
16,五常公園,32,5
17,捷運後山埤站,38,19
18,捷運台北101/世貿站,32,26
19,基隆光復路口,20,8
20,捷運象山站,38,34
21,吳興公車總站,36,20
22,仁愛逸仙路口,26,9
23,捷運永春站,20,13
24,松德公園,20,11
25,松山高中,30,23
26,泰和公園,20,0
27,林口公園,38,6
28,三興公園,28,6
29,富台公園,16,4
30,信義基隆路口,16,7
31,基隆路一段101巷口,18,3
32,松友公園,20,5
33,春光公園,38,17
34,吳興街260巷,22,2
35,福德國小,24,8
36,松德虎林街口,22,17
37,安強公園,16,2
